fileid,date_cases_IMPUTED,cases_extracted,country_extracted,date_extracted,deaths_extracted,virus_extracted
2000_03_14-en,,1.0,Sierra Leone,2000/3/14,,Lassa Fever
2000_03_16-en,,15173.0,Madagascar,2000/3/16,860.0,Cholera
2000_03_17-en,,81.0,Ethiopia,2000/3/17,3.0,Meningitis
2000_03_21-en,,18.0,Congo,2000/3/13,12.0,Marburg Hemorrhagic Fever
2000_03_31-en,,16.0,Congo,2000/3/31,,Marburg
2000_04_04-en,,1.0,Germany,2000/4/4,1.0,Lassa Fever
2000_04_07-en,,2549.0,Egypt,2000/4/7,186.0,Meningitis
2000_04_10-en,,70.0,Ethiopia,2000/4/10,3.0,Meningitis
2000_04_11-en,,23.0,France,2000/4/11,7.0,Meningococcal (Group C)
2000_04_21a-en,,250.0,Kosovo,2000/4/21,0.0,Tularemia
2000_04_21b-en,,199.0,Saudi Arabia,2000/4/21,55.0,Meningitis
2000_04_26-en,,3.0,United States,2000/4/20,,Meningococcal (Group C)
2000_04_27a-en,,699.0,Kosovo,2000/4/27,,Tularemia
2000_05_02-en,,2232.0,Somalia,2000/1/1,230.0,Cholera
2000_05_03-en,,4.0,Singapore,2000/5/3,6.0,Meningococcal (Group C)
2000_05_04-en,,66.0,Australia,2000/5/4,2.0,Legionella pneumophila serogroup 1
2000_05_11-en,,76.0,Australia,2000/5/11,2.0,Legionellosis
2000_05_19-en,,2.0,Federal Republic of Nigeria,2000/5/19,,Yellow Fever
2000_05_30-en,,27.0,Canada,2000/5/30,5.0,Escherichia coli O157:H7
2000_06_19e-en,,25.0,Pakistan,2000/6/19,15.0,Crimean-Congo Hemorrhagic fever
2000_06_20e-en,,8.0,Soviet Union,2000/6/20,,Smallpox
2000_07_06-en,,954.0,Pohnpei island,2000/4/17,9.0,"Vibrio cholerae O1, biotype El Tor, serotype Ogawa"
2000_07_10-en,,13809.0,Japan,2000/7/10,0.0,Staphylococcal infection
2000_07_11-en,,27.0,Pakistan,2000/7/11,16.0,
2000_07_20-en,,,Ethiopia,2000/7/20,,Anthrax
2000_07_25-en,,1.0,The Netherlands,2000/7/25,0.0,Lassa Fever
2000_07_26-en,,1.0,Sierra Leone,2000/7/25,1.0,Lassa Fever
2000_08_09-en,,1376.0,Republic of Ireland,2000/8/9,2.0,Measles
2000_08_17-en,,855.0,Ethiopia,2000/8/17,19.0,Meningitis
2000_08_24a-en,,,Pakistan,2000/8/24,,
2000_08_24b-en,,29.0,Angola,2000/8/16,3.0,Yellow Fever
2000_09_08-en,,2689.0,Federated States of Micronesia (Kosrae),2000/9/8,15.0,"Vibrio cholerae O1, biotype El Tor, serotype Ogawa"
2000_09_11-en,,102.0,Angola,2000/9/6,,Yellow Fever
2000_09_13-en,,1604.0,Pakistan,2000/9/13,19.0,V. cholerae
2000_09_15-en,,37.0,Malaysia,2000/9/3,,Leptospirosis
2000_09_18-en,,38.0,Saudi Arabia,2000/9/17,16.0,Rift Valley Fever
2000_09_21a-en,,6.0,Canada,2000/9/21,0.0,Leptospirosis
2000_09_22-en,,151.0,Israel,2000/9/22,12.0,West Nile Disease
2000_09_26-en,,113.0,Yemen,2000/9/26,30.0,Rift Valley Fever
2000_09_29-en,,134.0,Saudi Arabia,2000/9/29,31.0,Rift Valley Fever
2000_10_03-en,,321.0,Yemen,2000/10/3,32.0,Rift Valley Fever
2000_10_09-en,,321.0,Yemen,2000/10/9,32.0,Rift Valley Fever
2000_10_10-en,,291.0,Saudi Arabia,2000/10/10,64.0,Rift Valley Fever
2000_10_13-en,,2175.0,South Africa (KwaZulu Natal),2000/10/13,22.0,
2000_10_16-en,,71.0,United Republic of Tanzania,2000/10/16,35.0,Ebola
2000_10_17-en,,81.0,United Republic of Tanzania,2000/10/17,35.0,Hemorrhagic fever
2000_10_18a-en,,3075.0,South Africa (KwaZulu Natal),2000/10/18,26.0,
2000_10_19a-en,,405.0,Saudi Arabia,2000/10/17,76.0,Rift Valley Fever
2000_10_20a-en,,3279.0,South Africa (KwaZulu Natal),2000/10/20,27.0,
2000_10_20b-en,,122.0,United Republic of Tanzania,2000/10/20,47.0,Ebola
2000_10_21-en,,139.0,United Republic of Tanzania,2000/10/21,51.0,
2000_10_22-en,,149.0,United Republic of Tanzania,2000/10/22,54.0,
2000_10_23-en,,160.0,United Republic of Tanzania,2000/10/23,55.0,Hemorrhagic fever
2000_10_24-en,,165.0,United Republic of Tanzania,2000/10/24,60.0,Hemorrhagic fever
2000_10_25a-en,,176.0,United Republic of Tanzania,2000/10/25,64.0,Hemorrhagic fever
2000_10_26a-en,,182.0,United Republic of Tanzania,2000/10/26,64.0,
2000_10_27a-en,,3806.0,South Africa (KwaZulu Natal),2000/10/26,33.0,
2000_10_28-en,,205.0,United Republic of Tanzania,2000/10/28,71.0,
2000_10_29-en,,211.0,United Republic of Tanzania,2000/10/29,72.0,
2000_10_30-en,,224.0,United Republic of Tanzania,2000/10/30,73.0,
2000_10_31-en,,239.0,United Republic of Tanzania,2000/10/31,75.0,
2000_11_01-en,,251.0,United Republic of Tanzania,2000/11/1,80.0,
2000_11_02-en,,262.0,United Republic of Tanzania,2000/11/2,81.0,Ebola
2000_11_03a-en,,4270.0,South Africa (KwaZulu Natal),2000/11/3,32.0,Cholera
2000_11_03b-en,,,United Republic of Tanzania,2000/11/3,,Hemorrhagic fever
2000_11_05-en,,280.0,United Republic of Tanzania,2000/11/5,89.0,
2000_11_06-en,,281.0,United Republic of Tanzania,2000/11/6,91.0,
2000_11_07-en,,284.0,United Republic of Tanzania,2000/11/7,91.0,
2000_11_08-en,,286.0,United Republic of Tanzania,2000/11/8,94.0,
2000_11_09-en,,295.0,United Republic of Tanzania,2000/11/9,96.0,
2000_11_10a-en,,301.0,United Republic of Tanzania,2000/11/10,99.0,
2000_11_11-en,,313.0,United Republic of Tanzania,2000/11/11,101.0,
2000_11_12-en,,320.0,United Republic of Tanzania,2000/11/12,102.0,
2000_11_14-en,,320.0,United Republic of Tanzania,2000/11/14,104.0,EHF
2000_11_15-en,,1.0,United Republic of Tanzania,2000/11/15,104.0,
2000_11_17-en,,329.0,United Republic of Tanzania,2000/11/17,107.0,
2000_11_20-en,,5285.0,South Africa (KwaZulu Natal),2000/11/20,35.0,
2000_11_22-en,,272.0,Somalia,2000/10/14,14.0,V. cholerae
2000_11_24-en,,15.0,United Republic of Tanzania,2000/11/24,14.0,
2000_11_27-en,,5876.0,South Africa (KwaZulu Natal),2000/11/27,35.0,
2000_11_30-en,,354.0,United Republic of Tanzania,2000/11/30,140.0,Hemorrhagic fever
2000_12_05-en,,370.0,United Republic of Tanzania,2000/12/5,140.0,Ebola
2000_12_06-en,,6548.0,South Africa (KwaZulu Natal),2000/12/6,35.0,Cholera
2000_12_08-en,,405.0,United Republic of Tanzania,2000/12/8,160.0,Ebola
2000_12_19a-en,,421.0,United Republic of Tanzania,2000/12/19,162.0,
2000_12_29a-en,,11183.0,South Africa (KwaZulu Natal),2000/12/29,51.0,Cholera
2000_12_29b-en,,426.0,United Republic of Tanzania,2000/12/29,172.0,Ebola
2001_01_03-en,,394.0,United Republic of Tanzania,2001/1/3,149.0,
2001_01_05-en,,,United Republic of Tanzania,2001/1/5,,Ebola
2001_01_09a-en,,395.0,United Republic of Tanzania,2001/1/9,150.0,Hemorrhagic fever
2001_01_16-en,,19499.0,South Africa (KwaZulu Natal),2001/1/16,66.0,
2001_01_17-en,,396.0,United Republic of Tanzania,2001/1/17,150.0,
2001_01_24-en,,396.0,United Republic of Tanzania,2001/1/23,150.0,
2001_01_26-en,,27431.0,South Africa (KwaZulu Natal),2001/1/25,74.0,Cholera
2001_02_05-en,,37204.0,South Africa (KwaZulu Natal),2001/2/5,85.0,
2001_02_09a-en,,,,,,
2001_02_16-en,,48647.0,South Africa (KwaZulu Natal),2001/2/16,108.0,
2001_02_20-en,,603.0,"Cameroon, Central African Republic",2001/2/20,45.0,Meningococcal (Group C)
2001_02_23-en,,56092.0,South Africa (KwaZulu Natal),2001/2/22,120.0,
2001_02_28a-en,,9.0,Brazil,2001/2/28,6.0,Yellow Fever
2001_02_28b-en,,,United Republic of Tanzania,2000/10/8,224.0,Ebola
2001_03_05-en,,62607.0,South Africa (KwaZulu Natal),2000/8/15,131.0,
2001_03_07-en,,35.0,Brazil,2001/3/7,6.0,
2001_03_08-en,,,Ethiopia,2001/3/8,,
2001_03_16-en,,69761.0,South Africa (KwaZulu Natal),2001/3/16,139.0,
2001_03_19a-en,,3267.0,Burkina Faso,2001/3/19,552.0,
2001_03_20a-en,,436.0,Zambia,2001/3/20,11.0,Yersinia Pestis
2001_03_26-en,,23.0,Zambia,2001/3/26,3.0,
2001_03_27-en,,4350.0,Burkina Faso,2001/3/25,719.0,
2001_03_28-en,,78140.0,South Africa (KwaZulu Natal),2001/3/28,163.0,
2001_04_05-en,,7751.0,Burkina Faso,2001/4/5,1137.0,Meningitis
2001_04_09-en,,,Ethiopia,2001/4/9,,
2001_04_17-en,,86107.0,South Africa (KwaZulu Natal),2001/4/16,181.0,
2001_04_23-en,,10897.0,Burkina Faso,2001/4/23,1525.0,Meningitis
2001_04_27-en,,109.0,Saudi Arabia,2001/2/9,35.0,N. meningitidis
2001_05_16-en,,109.0,Saudi Arabia,2001/2/9,35.0,N. meningitidis
2001_05_17-en,,,Hong Kong Special Administrative Region of China,May 16,,Avian influenza
2001_05_18-en,,,Hong Kong,2001/5/18,,Avian influenza
2001_05_25a-en,,28.0,People's Republic of Bangladesh,2001/5/25,9.0,
2001_05_30-en,,,People's Republic of Bangladesh,2001/5/30,,
2001_05_31-en,,4.0,Cameroon,2001/5/31,3.0,Yellow Fever
2001_06_05e-en,,,People's Republic of Bangladesh,2001/5/26,,
2001_06_07e-en,,8.0,Ecuador,2001/6/7,2.0,Yellow Fever
2001_06_08e-en,,27.0,Kosovo,2001/6/8,4.0,
2001_06_11e-en,,,Kosovo,2001/6/8,,Crimean-Congo Hemorrhagic fever
2001_06_14a-en,,44.0,Kosovo,2001/6/14,,CCHF
2001_06_15e-en,,48.0,,2001/6/15,,CCHF
2001_06_20e-en,,57.0,Kosovo,2001/6/19,4.0,CCHF
2001_06_22e-en,,109.0,Saudi Arabia,2001/2/9,35.0,N. meningitidis
2001_06_29e-en,,69.0,Kosovo,2001/6/26,6.0,CCHF
2001_07_03-en,,6.0,Saudi Arabia,2001/7/3,,N. meningitidis
2001_07_12-en,,470.0,Spain,2001/7/11,1.0,Legionellosis
2001_07_18-en,,751.0,Spain,2001/7/18,2.0,Legionellosis
2001_07_26a-en,,608.0,Chad,2001/7/25,20.0,
2001_07_26b-en,,4499.0,Pakistan,2001/7/25,114.0,
2001_08_06-en,,1111.0,Chad,2001/8/6,33.0,
2001_08_14-en,,34111.0,"Orissa, India",2001/7/7,33.0,Cholera
2001_08_15a-en,,77.0,Angola,2001/8/15,17.0,Meningococcal (Group C)
2001_08_22-en,,2458.0,USA (Southeast),2001/8/21,88.0,
2001_08_23-en,,3.0,"Maryland county, in the south-eastern part of the country",2001/8/23,3.0,Yellow Fever
2001_09_04-en,,128.0,Cameroon,2001/9/4,14.0,Yellow Fever
2001_09_05a-en,,19.0,Sweden,2001/9/4,2.0,Legionellosis
2001_09_05b-en,,20.0,Cameroon,2001/9/5,4.0,Yellow Fever
2001_09_12-en,,,Cameroon,2001/9/12,,Yellow Fever
2001_09_13-en,,143.0,Cameroon,2001/9/13,,Yellow Fever
2001_09_17a-en,,55.0,Burkina Faso,2001/9/17,3.0,Cholera
2001_09_18-en,,153.0,Cameroon,2001/9/18,20.0,Yellow Fever
2001_09_25a-en,,18.0,Guinea Bissau,2001/9/24,2.0,Yellow Fever
2001_09_26-en,,314.0,Burkina Faso,2001/9/26,6.0,Cholera
2001_10_02-en,,174.0,Cameroon,2001/10/2,20.0,Yellow Fever
2001_10_10a-en,,203.0,Cameroon,2001/10/8,21.0,Yellow Fever
2001_10_10b-en,,283.0,Congo,2001/10/10,27.0,
2001_10_10c-en,,332.0,Angola,2001/10/2,30.0,
2001_10_11-en,,3.0,United States,2001/10/11,1.0,Anthrax
2001_10_15-en,,,United States,2001/10/15,,
2001_10_17-en,,,United States,2001/10/17,,
2001_10_18-en,,,United States,2001/10/18,,Anthrax
2001_10_19-en,,,United States,2001/10/19,,
2001_10_22a-en,,378.0,Congo,2001/10/16,32.0,Meningococcal (Group C)
2001_10_23-en,,,United States,2001/10/23,,
2001_10_24-en,,,United States,2001/10/24,,
2001_10_26-en,,,United States,2001/10/26,,
2001_10_29-en,,,United States,2001/10/29,,
2001_10_30-en,,,United States,2001/10/30,,
2001_10_31-en,,,United States,2001/10/31,,
2001_11_02-en,,,,,,
2001_11_05-en,,22.0,United States,2001/11/5,4.0,Anthrax
2001_11_12-en,,1.0,Belgium,2001/11/12,0.0,Yellow Fever
2001_11_15-en,,,Federal Republic of Nigeria,2001/11/14,1.0,Yellow Fever
2001_11_23-en,,23.0,United States,2001/11/23,5.0,Anthrax
2001_11_27-en,,724.0,Federal Republic of Nigeria,2001/11/14,52.0,
2001_12_03-en,,2050.0,"Kano State, Nigeria",2001/12/3,80.0,Cholera
2001_12_05-en,,,Congo,2001/12/4,7.0,Hemorrhagic fever
2001_12_07-en,,49.0,Hargersa town,2001/10/13,6.0,Meningococcal (Group C)
2001_12_11-en,,12.0,Congo,2001/12/11,10.0,Ebola
2001_12_12a-en,,1.0,United States,2001/12/12,0.0,Coccidioidomycosis
2001_12_13-en,,14.0,Congo,2001/12/13,10.0,
2001_12_16-en,,15.0,Congo,2001/12/16,12.0,
2001_12_17-en,,16.0,Congo,2001/12/17,12.0,
2001_12_18a-en,,19.0,,2001/12/18,13.0,
2001_12_20-en,,27.0,Congo,2001/12/19,15.0,
2001_12_24-en,,27.0,Gabon and the neighbouring villages of the Republic of the Congo,2001/12/24,18.0,Hemorrhagic fever
2001_12_28-en,,29.0,Gabon and the neighbouring villages of the Republic of the Congo,2001/12/27,20.0,Hemorrhagic fever
2001_12_31-en,,30.0,Gabon and the neighbouring villages of the Republic of the Congo,2001/12/30,22.0,Hemorrhagic fever
2002_01_02-en,,32.0,Congo,2002/1/1,23.0,Hemorrhagic fever
2002_01_04-en,,32.0,Gabon and the neighbouring villages of the Republic of the Congo,2002/1/4,23.0,Hemorrhagic fever
2002_01_07-en,,33.0,Congo,2002/1/6,24.0,Hemorrhagic fever
2002_01_09-en,,34.0,Congo,2002/1/7,25.0,
2002_01_16-en,,738.0,Pakistan,2002/1/16,,Visceral Leishmaniasis
2002_01_17-en,,282.0,Kosovo,2001/11/1,0.0,Tularemia
2002_01_18-en,,144.0,Somalia,2001/10/1,33.0,N. meningitidis
2002_01_21-en,,18.0,Cameroon,2002/1/21,,Yellow Fever
2002_01_24-en,,26.0,Congo,2002/1/20,23.0,
2002_01_25-en,,496.0,Kosovo,2002/1/24,0.0,Tularemia
2002_01_28-en,,,Somalia,2002/1/26,,
2002_02_06-en,,715.0,Kosovo,2002/2/5,0.0,Tularemia
2002_02_07-en,,49.0,Congo,2002/2/5,42.0,
2002_02_08-en,,,Hong Kong,2002/2/8,,Avian influenza
2002_02_12-en,,5000.0,Pakistan,2002/2/12,,
2002_02_15-en,,893.0,Congo,2001/8/1,104.0,Meningococcal (Group C)
2002_02_20-en,,16.0,India,2002/2/4,4.0,Yersinia Pestis
2002_02_21a-en,,55.0,Congo,2002/2/18,46.0,
2002_02_25-en,,57.0,Congo,2002/2/23,48.0,
2002_03_05-en,,5021.0,Congo,2002/3/5,407.0,Cholera
2002_03_06-en,,60.0,Congo,2002/3/4,49.0,
2002_03_07-en,,201.0,Burkina Faso,2002/2/4,36.0,
2002_03_08a-en,,2329.0,Ethiopia,2002/3/3,118.0,Meningitis
2002_03_14-en,,60.0,Congo,2002/3/12,50.0,
2002_03_15-en,,6601.0,Congo,2002/3/15,502.0,Cholera
2002_03_21a-en,,3579.0,Burkina Faso,2002/3/21,544.0,Meningococcal (Group C)
2002_03_22-en,,60.0,Congo,2002/3/20,50.0,Hemorrhagic fever
2002_03_26-en,,22023.0,Zambia,2002/3/28,609.0,V. cholerae
2002_04_25-en,,39.0,Greece,2002/4/25,3.0,Myocarditis
2002_04_26-en,,,Greece,2002/4/26,,Enterovirus Infection
2002_05_03-en,,51.0,Greece,2002/5/3,3.0,Acute respiratory illness
2002_05_06-en,,11899.0,Burkina Faso,2002/5/6,1368.0,Meningococcal (Group C)
2002_05_08-en,,317787.0,Brazil,2002/5/8,57.0,Dengue Fever
2002_05_09-en,,,Congo,2002/5/9,,Hemorrhagic fever
2002_05_17-en,,12587.0,Burkina Faso,2002/5/15,1447.0,Meningococcal (Group C)
2002_05_22-en,,200000.0,Pakistan,2002/5/22,,Visceral Leishmaniasis
2002_06_05e-en,,71.0,Zambia,2002/4/16,,Crayfish plague
2002_06_12e-en,,6.0,Congo,2002/6/12,5.0,Hemorrhagic fever
2002_06_19e-en,,6.0,Congo,2002/6/19,5.0,Hemorrhagic fever
2002_06_21e-en,,1200.0,El Salvador,2002/6/21,101.0,Dengue Fever
2002_06_24e-en,,2.0,Congo,2002/6/19,2.0,Hemorrhagic fever
2002_06_28a-en,,,Congo,2002/6/28,2.0,
2002_06_28b-en,,200000.0,Pakistan,2002/6/28,,Visceral Leishmaniasis
2002_07_10-en,,8.0,Cuvette Ouest region,2002/7/10,5.0,Hemorrhagic fever
2002_07_12-en,,1773.0,El Salvador,2002/7/12,6.0,Dengue Fever
2002_07_17-en,,6691.0,Pakistan,2002/7/17,3.0,Cholera
2002_07_19a-en,,2249.0,El Salvador,2002/7/6,6.0,Dengue Fever
2002_07_19b-en,,3993.0,Honduras,2002/7/19,8.0,Dengue Fever
2002_07_24-en,,104.0,Niger,2002/7/24,8.0,Vibrio parahaemolyticus
2002_08_05-en,,1930.0,Madagascar,2002/8/5,153.0,Avian influenza
2002_08_07-en,,1291.0,Madagascar,2002/8/7,156.0,Avian influenza
2002_08_13a-en,,581.0,Cameroon,2002/8/13,19.0,Vibrio parahaemolyticus
2002_08_14-en,,577.0,Burundi,2002/8/17,8.0,
2002_08_16a-en,,13300.0,Madagascar,2002/8/13,444.0,Avian influenza
2002_08_23a-en,,269.0,Burundi,2002/8/23,30.0,Meningococcal (Group C)
2002_08_27-en,,425.0,United States,2002/8/26,20.0,West Nile Disease
2002_08_28-en,,,Madagascar,2002/8/28,,Avian influenza
2002_08_29-en,,591.0,Burundi,2002/8/22,8.0,
2002_08_30a-en,,,People's Republic of Bangladesh,2001/4/1,,Nipah Virus
2002_09_03a-en,,638.0,United States,2002/8/29,31.0,West Nile Disease
2002_09_04-en,,428.0,Burundi,2002/9/4,38.0,Meningococcal (Group C)
2002_09_06-en,,755.0,Zambia,2002/9/6,24.0,
2002_09_12a-en,,50.0,Burundi,2002/9/12,,
2002_09_12b-en,,1.0,Canada,2002/9/11,0.0,West Nile Disease
2002_09_13a-en,,661.0,Angola,2002/9/13,,Cholera
2002_09_16-en,,2636.0,Congo,2002/9/16,67.0,Cholera
2002_09_17-en,,1460.0,United States,2002/9/16,66.0,West Nile Disease
2002_09_18-en,,17.0,Canada,2002/9/17,1.0,West Nile Disease
2002_09_20-en,,20.0,Canada,2002/9/19,1.0,West Nile Disease
2002_09_24-en,,1963.0,United States,2002/9/23,94.0,West Nile Disease
2002_10_01a-en,,38.0,Canada,2002/10/1,1.0,West Nile Disease
2002_10_02-en,,934.0,Burundi,2002/10/2,68.0,Meningococcal (Group C)
2002_10_04-en,,12.0,Cameroon,2002/10/4,,Yellow Fever
2002_10_11-en,,15.0,Cameroon,2002/10/11,2.0,Yellow Fever
2002_10_15a-en,,69.0,Canada,2002/10/15,1.0,West Nile Disease
2002_10_18-en,,18.0,Cameroon,2002/10/18,2.0,Yellow Fever
2002_10_22a-en,,88.0,Canada,2002/10/22,1.0,West Nile Disease
2002_10_24a-en,,96.0,Canada,2002/10/22,1.0,West Nile Disease
2002_10_25-en,,41.0,Cameroon,2002/10/24,4.0,Yellow Fever
2002_10_30a-en,,110.0,Canada,2002/10/29,1.0,West Nile Disease
2002_11_01-en,,45.0,Cameroon,2002/11/1,4.0,Yellow Fever
2002_11_06-en,,121.0,Canada,2002/11/6,1.0,West Nile Disease
2002_11_13-en,,141.0,Canada,2002/11/13,2.0,West Nile Disease
2002_11_14-en,,3587.0,United States,2002/11/13,211.0,West Nile Disease
2002_11_15-en,,394.0,Congo,2002/10/20,41.0,Vibrio parahaemolyticus
2002_11_20-en,,57.0,Cameroon,2002/11/20,10.0,Yellow Fever
2002_11_29a-en,,4000.0,Congo,2002/11/22,500.0,
2002_12_12-en,,1245.0,Congo,2002/12/12,18.0,Avian influenza
2002_12_20-en,,,Congo,2002/12/20,,Avian influenza
2003_01_08a-en,,115.0,Pakistan,2003/1/8,17.0,Whooping cough
2003_01_17-en,,24.0,Brazil,2003/1/17,5.0,Yellow Fever
2003_01_21-en,,,Pakistan,2003/1/21,,Whooping cough
2003_02_02a-en,,,China,2003/4/2,,SARS
2003_02_03-en,,43.0,Guinea Bissau,2003/2/3,24.0,
2003_02_04-en,,980.0,Burkina Faso,2003/1/1,196.0,Meningococcal (Group C)
2003_02_07a-en,,,Cuvette Ouest region,2003/2/7,,Ebola
2003_02_10a-en,,1.0,Sierra Leone,2003/2/10,0.0,Lassa Fever
2003_02_11-en,,300.0,China,2003/2/11,5.0,Acute respiratory illness
2003_02_12a-en,,305.0,China,2003/2/12,5.0,Acute respiratory illness
2003_02_12b-en,,61.0,Cuvette Ouest region,2003/2/12,48.0,Hemorrhagic fever
2003_02_14a-en,,61.0,Congo,2003/2/13,50.0,Hemorrhagic fever
2003_02_18-en,,73.0,Congo,2003/2/18,59.0,Hemorrhagic fever
2003_02_20-en,,2.0,Hong Kong,2003/2/20,2.0,Avian influenza
2003_02_26-en,,95.0,Cuvette Ouest region,2003/2/25,77.0,Hemorrhagic fever
2003_02_27a-en,,2.0,Hong Kong,2003/2/27,1.0,Avian influenza
2003_02_28-en,,,Cuvette Ouest region,2003/2/27,80.0,Hemorrhagic fever
2003_03_11-en,,30.0,Egypt,2003/3/11,6.0,Crimean-Congo Hemorrhagic fever
2003_03_12-en,,305.0,"Viet Nam, Indonesia",2003/3/12,5.0,Pneumonia
2003_03_13-en,,2056.0,Niger,2003/3/9,195.0,Meningococcal (Group C)
2003_03_14-en,,118.0,Congo,2003/3/14,106.0,Ebola
2003_03_16-en,,43.0,Viet Nam,2003/3/15,2.0,SARS
2003_03_17-en,,,,2003/3/17,,SARS
2003_03_18-en,,,,2003/3/18,,SARS
2003_03_19-en,,264.0,,2003/3/19,9.0,Paramyxida
2003_03_20-en,,306.0,,2003/3/20,10.0,SARS
2003_03_21-en,,350.0,China,2003/3/21,10.0,SARS
2003_03_22-en,,,Hong Kong,2003/3/22,2.0,SARS
2003_03_24B-en,,456.0,China,2003/3/24,17.0,SARS
2003_03_24a-en,,123.0,Congo,2003/3/23,113.0,
2003_03_25-en,,487.0,,2003/3/25,,SARS
2003_03_26-en,,792.0,China,2003/3/26,31.0,SARS
2003_03_27b-en,,1408.0,,2003/3/27,53.0,SARS
2003_03_28-en,,1485.0,China,2003/3/28,53.0,SARS
2003_03_29-en,,1550.0,Thailand,2003/3/29,55.0,SARS
2003_03_31-en,,213.0,Hong Kong,2003/3/31,3.0,SARS
2003_03_7a-en,,3691.0,Burkina Faso,2003/3/7,542.0,Meningitis
2003_04_01-en,,1804.0,China,2003/4/1,62.0,SARS
2003_04_02b-en,,361.0,China,2003/4/2,9.0,SARS
2003_04_02c-en,,135.0,Congo,2003/4/2,120.0,
2003_04_03a-en,,1153.0,China,2003/4/3,40.0,SARS
2003_04_04-en,,1220.0,China,2003/4/4,49.0,SARS
2003_04_05-en,,2416.0,Hong Kong,2003/4/5,89.0,SARS
2003_04_07-en,,1268.0,China,2003/4/7,53.0,SARS
2003_04_08-en,,305.0,China,2003/4/8,5.0,SARS
2003_04_09-en,,2722.0,China,2003/4/9,106.0,SARS
2003_04_10-en,,10.0,China,2003/4/10,2.0,SARS
2003_04_11-en,,2781.0,Viet Nam,2003/2/1,111.0,SARS
2003_04_12-en,,1108.0,China,2003/4/12,35.0,SARS
2003_04_14a-en,,1418.0,China,2003/4/14,64.0,SARS
2003_04_15-en,,3235.0,China,2003/4/15,154.0,SARS
2003_04_16-en,,,,2003/4/16,,SARS
2003_04_17-en,,12.0,China,2003/4/17,0.0,SARS
2003_04_18-en,,321.0,Hong Kong,2003/4/18,0.0,SARS
2003_04_19-en,,3547.0,,2003/4/19,182.0,SARS
2003_04_21-en,,109.0,China,2003/4/21,,SARS
2003_04_22-en,,186.0,Singapore,2003/4/22,16.0,SARS
2003_04_23-en,,,Canada,2003/4/23,,SARS
2003_04_24a-en,,125.0,China,2003/4/24,4.0,SARS
2003_04_25-en,,63.0,Viet Nam,2003/4/25,5.0,SARS
2003_04_26-en,,4836.0,Hong Kong,2003/4/26,293.0,SARS
2003_04_28-en,,5050.0,Viet Nam,2003/4/28,321.0,SARS
2003_04_29-en,,202.0,China,2003/4/29,9.0,SARS
2003_04_30-en,,3460.0,China,2003/4/30,159.0,SARS
2003_05_01-en,,187.0,China,2003/5/1,11.0,SARS
2003_05_02a-en,,6054.0,China,2003/5/2,417.0,SARS
2003_05_03-en,,100.0,China,2003/5/3,8.0,SARS
2003_05_05-en,,160.0,China,2003/5/5,9.0,SARS
2003_05_06-en,,9.0,Hong Kong,2003/5/6,193.0,SARS
2003_05_07a-en,,6903.0,,2003/5/7,495.0,SARS
2003_05_08a-en,,17.0,Iraq,2003/5/8,,Cholera
2003_05_09b-en,,7183.0,China,2003/5/9,514.0,SARS
2003_05_10-en,,85.0,China,2003/5/10,5.0,SARS
2003_05_12-en,,58.0,Singapore,2003/5/12,1.0,SARS
2003_05_13a-en,,4.0,Iraq,2003/5/13,,Cholera
2003_05_13b-en,,7548.0,,2003/5/13,573.0,SARS
2003_05_14a-en,,55.0,China,2003/5/14,5.0,SARS
2003_05_15-en,,52.0,China,2003/5/15,4.0,SARS
2003_05_16-en,,5191.0,China,2003/5/16,275.0,SARS
2003_05_17-en,,202.0,China,2003/5/17,10.0,SARS
2003_05_19a-en,,22.0,China,2003/5/19,3.0,SARS
2003_05_20-en,,12.0,Philippines,2003/5/20,2.0,SARS
2003_05_21a-en,,,"India, Taiwan",2003/5/21,,SARS
2003_05_22-en,,483.0,China,2003/5/22,60.0,SARS
2003_05_23a-en,,174.0,South Africa (KwaZulu Natal),2003/5/23,3.0,Cholera
2003_05_23b-en,,5.0,Canada,2003/5/23,0.0,SARS
2003_05_24-en,,26.0,Canada,2003/5/24,7.0,SARS
2003_05_26-en,,8.0,Canada,2003/5/26,3.0,SARS
2003_05_27a-en,,8221.0,China,2003/5/27,735.0,SARS
2003_05_28-en,,22.0,China,2003/5/28,5.0,SARS
2003_05_29-en,,3.0,China,2003/5/29,5.0,SARS
2003_05_30a-en,,206.0,Singapore,2003/5/30,33.0,SARS
2003_06_02a-en,,8384.0,China,2003/6/2,770.0,SARS
2003_06_03-en,,,China,2003/6/3,,SARS
2003_06_04-en,,8402.0,29 countries,2003/6/4,772.0,SARS
2003_06_05-en,,8403.0,Hong Kong,2003/6/5,775.0,SARS
2003_06_06-en,,,Malaysia,2003/6/6,,SARS
2003_06_09-en,,1.0,China,2003/6/9,1.0,SARS
2003_06_10-en,,,China,2003/6/10,,SARS
2003_06_11a-en,,90.0,Canada,2003/6/11,,SARS
2003_06_12-en,,,China,2003/6/12,,SARS
2003_06_13-en,,,China,2003/6/13,,SARS
2003_06_13a-en,,13452.0,Congo,2003/6/13,380.0,Cholera
2003_06_16a-en,,11796.0,Mozambique,2003/6/15,87.0,Cholera
2003_06_17A-en,,73.0,Iraq,2003/6/19,0.0,Cholera
2003_06_18-en,,,China,2003/3/12,,SARS
